year,month,day,hour,minute,celsius,fahrenheit,humidity,pressure,pm10,pm25,pm100,pm25_reported,pm25_avg_15,pm25_avg_60,particles_03um,particles_05um,particles_100um,particles_10um,particles_25um,particles_50um
2023,10,21,8,30,19.166666666666654,66.53333333333333,53.53333333333333,1003.6333333333334,3.618666666666667,4.853666666666669,6.284666666666668,5.294333333333333,4.899,4.971666666666668,764.1,217.96666666666667,0.13333333333333333,35.43333333333333,3.3,0.8333333333333334
2023,10,21,9,0,19.559999999999988,67.26666666666667,52.4,1003.8913333333335,3.508000000000001,4.809000000000001,6.277333333333333,5.214333333333333,4.911,4.876999999999998,749.5333333333333,214.73333333333332,0.26666666666666666,35.733333333333334,4.033333333333333,0.8
2023,10,21,9,30,20.400000000000002,68.66666666666667,49.6,1004.0566666666666,3.579333333333333,4.9719999999999995,6.870333333333336,5.499333333333335,4.901333333333333,4.8503333333333325,774.6,221.9,0.26666666666666666,37.53333333333333,4.9,1.3333333333333333
2023,10,21,10,0,21.78666666666667,71.2,45.93333333333333,1004.0686666666669,4.437666666666667,5.614000000000002,7.791666666666668,6.608000000000001,5.569333333333334,5.071,910.3333333333334,260.8333333333333,0.26666666666666666,43.93333333333333,4.6,1.1666666666666667
2023,10,21,10,30,24.999999999999993,77.0,39.13333333333333,1003.7313333333329,5.0729999999999995,6.067000000000001,8.927666666666665,7.3936666666666655,6.183999999999999,5.619666666666666,1025.8666666666666,293.43333333333334,0.4666666666666667,50.4,5.0,1.5666666666666667
2023,10,21,11,0,27.300000000000015,81.13333333333334,34.06666666666667,1003.5853333333329,5.935666666666667,6.75,9.755333333333335,8.576333333333332,6.800333333333332,6.213,1149.4666666666667,329.4,0.13333333333333333,55.4,4.733333333333333,1.1
2023,10,21,11,30,28.766666666666644,83.8,31.333333333333332,1003.2259999999998,7.501666666666667,7.866333333333334,11.894666666666666,10.508333333333335,7.873333333333332,6.934333333333333,1376.7666666666667,395.2,0.3333333333333333,66.0,5.766666666666667,1.1
2023,10,21,12,0,27.953333333333322,82.33333333333333,32.733333333333334,1003.0600000000001,8.587666666666667,8.759000000000002,13.736666666666663,12.054333333333329,8.950333333333335,7.901000000000001,1544.5333333333333,443.73333333333335,0.26666666666666666,75.93333333333334,6.933333333333334,1.5
2023,10,21,12,30,27.14000000000001,80.86666666666666,34.06666666666667,1002.6333333333333,9.573333333333334,9.629000000000001,15.653,13.558666666666666,9.903666666666668,8.899333333333335,1736.6666666666667,498.4,0.6333333333333333,87.33333333333333,8.033333333333333,2.033333333333333
2023,10,21,13,0,27.480000000000015,81.46666666666667,33.6,1002.1780000000005,11.422333333333333,11.098,18.305999999999997,16.101333333333333,11.452,9.999333333333336,2039.0333333333333,584.3333333333334,0.3333333333333333,102.36666666666666,8.933333333333334,2.033333333333333
2023,10,21,13,30,28.09333333333333,82.6,32.6,1001.8213333333335,11.313000000000004,11.062666666666667,18.364333333333335,16.039999999999996,11.863999999999999,11.047666666666668,2001.0333333333333,576.1666666666666,0.4,101.9,9.5,2.466666666666667
2023,10,21,14,0,30.99333333333333,87.8,28.8,1001.266,10.313333333333334,10.187333333333331,16.01833333333333,14.524333333333333,10.943000000000003,11.061333333333334,1841.1333333333334,529.2,0.26666666666666666,90.43333333333334,7.066666666666666,1.3666666666666667
2023,10,21,14,30,34.15999999999998,93.53333333333333,23.933333333333334,1000.992,8.787333333333333,8.813666666666661,13.81466666666667,12.147999999999998,9.481333333333335,10.074999999999998,1593.8,455.43333333333334,0.36666666666666664,76.4,6.5,1.2666666666666666
2023,10,21,15,0,34.72666666666667,94.53333333333333,23.533333333333335,1001.0593333333333,7.689333333333333,7.981999999999998,12.055666666666667,10.710666666666668,8.591333333333335,9.056,1428.9,406.8333333333333,0.3333333333333333,66.66666666666667,5.2,1.2666666666666666
