year,month,day,hour,minute,celsius,fahrenheit,humidity,pressure,pm10,pm25,pm100,pm25_reported,pm25_avg_15,pm25_avg_60,particles_03um,particles_05um,particles_100um,particles_10um,particles_25um,particles_50um
2023,10,18,23,30,28.29999999999999,83.0,34.0,1004.5660000000003,9.006333333333332,13.942,20.037666666666663,18.755666666666666,14.399666666666667,13.68133333333333,728.7,668.6,0.0,75.06666666666666,0.0,0.0
2023,10,19,0,0,28.059999999999988,82.53333333333333,34.06666666666667,1004.5640000000001,9.260333333333335,14.192,20.393333333333334,19.201666666666664,14.830666666666666,14.090333333333332,756.3333333333334,694.0333333333333,0.0,79.73333333333333,0.0,0.0
2023,10,19,0,30,27.20000000000001,81.0,35.0,1004.6346666666669,9.081666666666669,14.133666666666667,20.196666666666662,19.095999999999997,14.798000000000002,14.348,742.1666666666666,681.9333333333333,0.0,79.03333333333333,0.0,0.0
2023,10,19,1,0,26.49333333333335,79.66666666666667,36.53333333333333,1004.8833333333332,8.129333333333332,13.627666666666668,19.36466666666666,18.19533333333333,14.268999999999998,14.163333333333334,705.1,648.3666666666667,0.0,73.06666666666666,0.0,0.0
2023,10,19,1,30,25.54666666666668,77.93333333333334,38.0,1005.0759999999999,8.26866666666667,13.490000000000004,19.21766666666667,17.95,13.927000000000001,13.766333333333337,710.7666666666667,652.8666666666667,0.0,73.43333333333334,0.0,0.0
2023,10,19,2,0,25.320000000000004,77.53333333333333,38.0,1005.0593333333335,8.814333333333336,13.989,19.85666666666667,18.839,14.575999999999999,13.791333333333332,735.6,676.6666666666666,0.0,77.06666666666666,0.0,0.0
2023,10,19,2,30,25.633333333333347,78.06666666666666,37.733333333333334,1005.0593333333334,9.537333333333331,14.341666666666665,20.544333333333338,19.466000000000005,14.908,14.186666666666667,758.0666666666667,697.8666666666667,0.0,81.8,0.0,0.0
2023,10,19,3,0,26.100000000000016,79.0,37.0,1005.0006666666666,11.142333333333333,15.121333333333329,21.903333333333332,20.852666666666664,15.646999999999997,14.634333333333336,807.0666666666667,742.8666666666667,0.0,90.13333333333334,0.0,0.0
2023,10,19,3,30,25.60666666666668,78.06666666666666,37.86666666666667,1004.8639999999998,10.414333333333333,14.71966666666667,21.188666666666666,20.139999999999993,15.486,15.01466666666667,780.9,719.8,0.0,85.33333333333333,0.0,0.0
2023,10,19,4,0,24.679999999999996,76.46666666666667,38.666666666666664,1004.7786666666665,10.107666666666669,14.74533333333333,21.100666666666662,20.186666666666667,15.368000000000002,14.984999999999998,776.9333333333333,715.7333333333333,0.0,85.43333333333334,0.0,0.0
2023,10,19,4,30,24.33333333333332,75.86666666666666,39.266666666666666,1004.8713333333332,11.951333333333336,15.423333333333334,22.54766666666666,21.39133333333333,16.322,15.187666666666667,830.3,764.2,0.0,95.2,0.0,0.0
