year,month,day,hour,minute,pm25,temperature,humidity
2023,10,16,14,0,1.1111111111111112,23.891703703703733,34.783111111111126
2023,10,16,14,30,0.9545454545454546,23.857272727272747,34.273333333333376
2023,10,16,15,0,0.6893939393939394,23.773106060606075,34.43651515151515
2023,10,16,15,30,0.5777777777777777,23.76985185185189,36.104592592592596
2023,10,16,16,0,1.121212121212121,23.819469696969687,37.0569696969697
2023,10,16,16,30,0.17424242424242425,23.8110606060606,35.81325757575759
2023,10,16,17,0,0.0,23.82613636363635,37.55681818181819
2023,10,16,17,30,0.0,23.810666666666698,37.56170370370369
2023,10,16,18,0,0.007575757575757576,23.768560606060625,37.37848484848486
2023,10,16,18,30,0.05303030303030303,23.73522727272722,37.59931818181818
2023,10,16,19,0,0.007407407407407408,23.713777777777764,37.86725925925924
2023,10,16,19,30,0.0,23.716212121212095,39.594696969696976
2023,10,16,20,0,0.0,23.668257575757554,41.20265151515149
2023,10,16,20,30,0.0,23.817045454545497,41.999393939393926
2023,10,16,21,0,0.0,23.546148148148163,43.34355555555554
2023,10,16,21,30,0.06818181818181818,23.43909090909093,44.479924242424225
2023,10,16,22,0,0.2803030303030303,23.3976515151515,45.232727272727274
2023,10,16,22,30,0.0,23.467481481481503,45.54600000000001
2023,10,16,23,0,0.0,23.517272727272715,46.11212121212119
2023,10,16,23,30,0.0,23.41363636363634,46.55568181818182
2023,10,17,0,0,0.0,23.239924242424244,47.60325757575755
2023,10,17,0,30,0.0,23.236296296296278,47.906592592592595
2023,10,17,1,0,0.0,23.159999999999986,48.22000000000003
2023,10,17,1,30,0.0,23.1146212121212,48.37409090909087
2023,10,17,2,0,0.0,23.003703703703685,48.586222222222176
2023,10,17,2,30,0.0,22.881060606060633,48.89083333333328
2023,10,17,3,0,0.0,22.75393939393936,49.0310606060606
2023,10,17,3,30,0.0,22.641212121212124,49.276212121212104
2023,10,17,4,0,0.0,22.574518518518502,49.47525925925927
2023,10,17,4,30,0.0,22.645378787878776,49.471666666666636
2023,10,17,5,0,0.0,22.649924242424234,49.453106060606046
2023,10,17,5,30,0.0,22.63229629629631,49.20414814814816
2023,10,17,6,0,0.045454545454545456,22.516590909090883,48.983181818181784
2023,10,17,6,30,0.06060606060606061,22.4057575757576,48.87401515151513
2023,10,17,7,0,0.26666666666666666,22.294814814814803,48.76925925925923
2023,10,17,7,30,0.3939393939393939,22.182045454545456,48.82113636363638
2023,10,17,8,0,0.32575757575757575,22.11439393939393,49.39295454545455
2023,10,17,8,30,0.9090909090909091,22.108257575757538,50.02833333333331
2023,10,17,9,0,0.8,22.330666666666655,50.0762222222222
2023,10,17,9,30,0.8181818181818182,22.839924242424242,48.86090909090908
2023,10,17,10,0,2.787878787878788,23.347575757575758,47.03363636363636
2023,10,17,10,30,3.8962962962962964,23.747555555555568,45.485777777777756
2023,10,17,11,0,4.803030303030303,24.101439393939348,43.15083333333334
2023,10,17,11,30,10.863636363636363,24.346590909090903,40.467651515151516
2023,10,17,12,0,9.712121212121213,24.615681818181802,38.70287878787881
2023,10,17,12,30,6.9037037037037035,25.13007407407406,37.70222222222225
2023,10,17,13,0,10.030303030303031,25.20886363636362,36.93439393939394
2023,10,17,13,30,8.628787878787879,24.850984848484885,37.088409090909096
2023,10,17,14,0,7.688888888888889,24.80437037037038,37.90370370370373
2023,10,17,14,30,6.378787878787879,24.813560606060655,38.693409090909114
2023,10,17,15,0,6.886363636363637,24.805606060606078,38.864015151515154
2023,10,17,15,30,4.606060606060606,24.80484848484852,38.33060606060607
2023,10,17,16,0,4.770370370370371,24.8225925925926,37.69503703703706
2023,10,17,16,30,1.7651515151515151,24.761742424242367,37.22280303030302
2023,10,17,17,0,1.1893939393939394,24.697575757575745,37.490984848484835
2023,10,17,17,30,0.725925925925926,24.6961481481481,37.74733333333334
2023,10,17,18,0,0.2878787878787879,24.69257575757576,37.814924242424254
2023,10,17,18,30,0.4166666666666667,24.604469696969648,38.05151515151515
2023,10,17,19,0,0.3333333333333333,24.60598484848484,38.15780303030303
2023,10,17,19,30,0.7777777777777778,24.55874074074074,38.5787407407407
2023,10,17,20,0,0.5984848484848485,24.52992424242427,38.890681818181804
2023,10,17,20,30,1.2121212121212122,24.54863636363635,39.082499999999996
2023,10,17,21,0,1.0074074074074073,24.63192592592588,38.554148148148144
2023,10,17,21,30,0.946969696969697,24.749242424242386,37.69636363636357
2023,10,17,22,0,1.1136363636363635,24.576666666666664,37.47598484848488
2023,10,17,22,30,1.3106060606060606,24.52613636363635,37.38818181818182
2023,10,17,23,0,1.3185185185185184,24.39844444444445,37.903777777777776
2023,10,17,23,30,1.6893939393939394,24.454696969696954,37.60363636363639
2023,10,18,0,0,1.75,24.403257575757618,37.110833333333304
2023,10,18,0,30,2.0606060606060606,24.233106060606048,36.529166666666676
2023,10,18,1,0,1.837037037037037,24.051925925925925,35.95874074074071
2023,10,18,1,30,1.9242424242424243,23.93727272727274,35.996666666666684
2023,10,18,2,0,1.6136363636363635,23.879772727272734,36.113863636363625
2023,10,18,2,30,1.5555555555555556,23.876000000000005,36.5760740740741
2023,10,18,3,0,1.856060606060606,23.867424242424253,36.231287878787874
2023,10,18,3,30,2.015151515151515,23.77265151515148,35.537803030302996
2023,10,18,4,0,2.111111111111111,23.647777777777772,35.50577777777775
2023,10,18,4,30,3.1818181818181817,23.574545454545436,35.33916666666672
2023,10,18,5,0,4.257575757575758,23.553484848484846,35.34515151515151
2023,10,18,5,30,4.037878787878788,23.553181818181816,35.29825757575759
