year,month,day,hour,minute,sensor_index,pm2.5_alt,humidity,temperature
2023,10,18,9,0,155565,1.4666666666666663,30.266666666666666,83.46666666666667
2023,10,18,9,30,155565,1.5266666666666668,31.0,84.0
2023,10,18,10,0,155565,2.386666666666666,32.0,85.0
2023,10,18,10,30,155565,2.193333333333334,32.0,84.86666666666666
2023,10,18,11,0,155565,2.2400000000000007,33.2,85.0
2023,10,18,11,30,155565,1.5399999999999996,34.0,85.0
2023,10,18,12,0,155565,1.2466666666666664,33.333333333333336,85.0
2023,10,18,12,30,155565,0.9142857142857144,33.142857142857146,84.57142857142857
2023,10,18,13,0,155565,3.6666666666666665,33.333333333333336,84.16666666666667
2023,10,18,13,30,155565,2.6599999999999997,27.6,91.86666666666666
2023,10,18,14,0,155565,2.6333333333333333,22.266666666666666,98.46666666666667
2023,10,18,14,30,155565,3.046666666666667,16.4,108.2
2023,10,18,15,0,155565,3.2533333333333334,14.2,111.33333333333333
2023,10,18,15,30,155565,3.0333333333333337,13.333333333333334,113.46666666666667
2023,10,18,16,0,155565,3.1333333333333337,13.2,114.33333333333333
2023,10,18,16,30,155565,3.673333333333334,13.4,113.73333333333333
2023,10,18,17,0,155565,3.9933333333333336,14.6,109.46666666666667
2023,10,18,17,30,155565,4.066666666666666,17.6,103.66666666666667
2023,10,18,18,0,155565,4.093333333333334,20.933333333333334,98.86666666666666
2023,10,18,18,30,155565,4.3933333333333335,24.0,95.2
2023,10,18,19,0,155565,4.659999999999999,26.133333333333333,93.13333333333334
2023,10,18,19,30,155565,4.8533333333333335,27.133333333333333,91.93333333333334
2023,10,18,20,0,155565,5.1000000000000005,28.4,90.2
2023,10,18,20,30,155565,5.833333333333332,29.8,88.2
2023,10,18,21,0,155565,6.606666666666667,30.0,87.93333333333334
2023,10,18,21,30,155565,6.806666666666667,30.8,86.8
2023,10,18,22,0,155565,7.353333333333334,31.933333333333334,85.6
2023,10,18,22,30,155565,7.566666666666666,33.0,84.06666666666666
2023,10,18,23,0,155565,7.793333333333333,34.0,82.86666666666666
2023,10,18,23,30,155565,8.093333333333332,34.0,83.0
2023,10,19,0,0,155565,8.426666666666668,34.13333333333333,82.4
2023,10,19,0,30,155565,8.313333333333333,35.0,81.0
2023,10,19,1,0,155565,7.786666666666666,36.733333333333334,79.53333333333333
2023,10,19,1,30,155565,7.953333333333332,38.0,77.8
2023,10,19,2,0,155565,8.18666666666667,38.0,77.6
2023,10,19,2,30,155565,8.620000000000001,37.666666666666664,78.13333333333334
2023,10,19,3,0,155565,9.340000000000002,37.0,79.0
2023,10,19,3,30,155565,8.859999999999998,37.93333333333333,77.93333333333334
2023,10,19,4,0,155565,8.993333333333332,38.733333333333334,76.4
2023,10,19,4,30,155565,9.620000000000001,39.333333333333336,75.8
2023,10,19,5,0,155565,10.773333333333333,40.266666666666666,73.46666666666667
2023,10,19,5,30,155565,11.913333333333334,40.93333333333333,72.73333333333333
2023,10,19,6,0,155565,12.726666666666665,41.0,72.86666666666666
2023,10,19,6,30,155565,12.34,40.6,73.0
2023,10,19,7,0,155565,11.080000000000002,40.0,72.93333333333334
2023,10,19,7,30,155565,10.82,40.0,72.66666666666667
2023,10,19,8,0,155565,11.806666666666665,39.86666666666667,73.66666666666667
2023,10,19,8,30,155565,9.853333333333332,37.733333333333334,75.93333333333334
2023,10,19,9,0,155565,8.4,35.666666666666664,78.06666666666666
2023,10,19,9,30,155565,7.146666666666666,34.8,79.8
2023,10,19,10,0,155565,6.7733333333333325,33.4,82.93333333333334
2023,10,19,10,30,155565,7.366666666666666,28.666666666666668,90.6
2023,10,19,11,0,155565,7.806666666666666,24.266666666666666,95.53333333333333
2023,10,19,11,30,155565,11.873333333333335,25.2,92.06666666666666
2023,10,19,12,0,155565,11.026666666666667,27.6,90.33333333333333
2023,10,19,12,30,155565,12.419999999999998,27.133333333333333,91.93333333333334
2023,10,19,13,0,155565,15.413333333333336,26.333333333333332,94.0
2023,10,19,13,30,155565,16.34,24.8,95.4
2023,10,19,14,0,155565,17.09333333333333,21.333333333333332,100.4
2023,10,19,14,30,155565,17.419999999999998,16.4,108.33333333333333
2023,10,19,15,0,155565,18.453333333333333,15.066666666666666,110.4
2023,10,19,15,30,155565,16.293333333333333,15.0,111.13333333333334
2023,10,19,16,0,155565,18.646666666666665,14.133333333333333,111.86666666666666
2023,10,19,16,30,155565,19.733333333333334,14.733333333333333,111.4
2023,10,19,17,0,155565,21.12666666666666,16.666666666666668,107.73333333333333
2023,10,19,17,30,155565,21.333333333333332,18.466666666666665,103.26666666666667
2023,10,19,18,0,155565,21.439999999999998,21.933333333333334,98.8
2023,10,19,18,30,155565,21.160000000000004,24.466666666666665,96.13333333333334
2023,10,19,19,0,155565,20.98,26.066666666666666,94.4
2023,10,19,19,30,155565,21.94666666666667,27.0,92.8
2023,10,19,20,0,155565,23.74,27.866666666666667,91.66666666666667
2023,10,19,20,30,155565,26.40666666666667,28.6,90.06666666666666
2023,10,19,21,0,155565,28.82857142857143,29.714285714285715,88.92857142857143
2023,10,19,21,30,155565,26.35333333333334,32.06666666666667,86.86666666666666
2023,10,19,22,0,155565,26.233333333333338,33.0,85.26666666666667
2023,10,19,22,30,155565,29.15333333333334,32.86666666666667,85.0
2023,10,19,23,0,155565,32.45333333333333,32.13333333333333,84.53333333333333
2023,10,19,23,30,155565,32.70666666666667,32.0,83.66666666666667
2023,10,20,0,0,155565,33.53333333333333,32.4,82.86666666666666
2023,10,20,0,30,155565,31.16,34.06666666666667,80.66666666666667
2023,10,20,1,0,155565,28.600000000000005,35.666666666666664,79.0
